neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom12yt0kgzv75sr6lsjwy6c7x73svjxa8u22eklyn,160,👤,0,4547,8,1459834697,2022-01-05T05:46:03
bostrom134c3cg4m9mhak7d4q936etvmm6w8wsp20t7xxp,161,jackx4603,0,304,5,14885126,2022-01-05T13:53:11
bostrom14eqgrtjzqkg76q6k6thh8xrmf6tea2gvahxgfa,162,snoopblair,0,11618,26,256505679,2022-01-08T08:10:21
bostrom1hmdjgtv3yq4qzyuk3ynyt42sjntma8hqarepjd,163,8bablou8,0,115653,75,21183639263,2022-01-08T14:10:45
bostrom1gywad2frusetg26dyh83cfaevacravashyjwg6,164,👤,0,28417,7,1986655138,2022-01-08T19:41:11
bostrom1ewu290xt5fhfz23jk34rq266ymzp6he6klmqkh,165,valakaries,0,37512,7,985431235,2022-01-10T08:53:18
bostrom1xzdh38v4slstvvncc7kzsuu9uuymrxte6apv5k,166,raymond,0,63,9,316176632,2022-01-12T04:40:15
bostrom164ahe0qjnq9d7qkvj7pqrk7pt83g0t709rmmnt,167,ulvsblakk,0,85,3,347994273,2022-01-12T11:52:50
bostrom1sfecgc5rsddpgz9v2drajqdv8vsl69wkyn83ch,168,grafdragon,0.7704019440546046,83472,5,3516324651,2022-01-13T18:19:07
bostrom1qcl8m4qje7qm33am779ynx2te9dp3y58mdx2qs,169,pjhooker,0.8777534464578505,3095,21,1524948019,2022-01-14T17:14:59
bostrom1s7gu3a88cvluc82jgk6p9h4cfc9l6yfeezptj5,170,bittybitty,0,2032,4,225128627,2022-01-14T20:13:53
bostrom1wtcp7m7589vdmsse30rsrlt357dwy0qylhatfl,171,flarnrules,0.8724208010396368,42307,327,2485955442068,2022-01-14T22:53:35
bostrom1r8pmwwnprvykp78ggd45ulecd3puryw5dgk0mc,172,greywolf,0.6395587501661942,73823,29,11676670095,2022-01-15T02:45:03
bostrom1ysn8jyjv464fv4wpt40vezh7d5tw05tc9v858t,173,👤,0,55492,2,2711226469,2022-01-15T12:45:15
bostrom19e7r4fvfhpgzct0sscfvatg0klv5whpsung02q,174,👤,0,20020,1,1500153571,2022-01-15T19:54:27
bostrom1q5wva3rd2sk8alhkg0v4yzc2cw8d8920rul34w,175,murbles,0,11306,1,173311165,2022-01-15T20:28:22
bostrom173pn5d5lct5xkpx9l85ww8p97c8ssge3qk9ldp,176,zlobnuj-kriptoded,0.6040491904919469,23862,162,1947492727728,2022-01-16T08:44:30
bostrom1jtmdnure6hvjew2fdsrg4g6vlmd87ky4uvzaus,177,👤,0,901542,22,189690450129,2022-01-17T01:32:09
bostrom18j0adn0l606srstepmsje7k7v6cavt5u86g0a3,179,demianpedro,0,58003,7,2255012023,2022-01-18T13:41:26
bostrom1dy69x4ls39u5kmmu7tcjye9jnrmh6g6m7jyhcp,180,johnripple,0,128896,10,19930321688,2022-01-18T14:07:23
bostrom1fe6v77cwtxlxs74r09m36h8wm4e0ely7ah9u76,181,👤,0,47051,8,2514294138,2022-01-18T20:15:33
bostrom1sl3jy9580xdpqzy645l5f0r3p83evljvpmue2d,182,mitichi,0,23116,34,417821694,2022-01-18T21:20:07
bostrom1k3c3mcn9rlts9rcvqxykmguaqlzwzkw9z3mlup,183,👤,0,9678,3,1351662281,2022-01-18T21:20:36
bostrom1vzzxk5knha3s6wdeqr2vcac83sa028dwlj8h49,184,aenigma,0.888799805727936,4528,60,688262668,2022-01-18T22:16:35
bostrom1ad2dnt94xnp7a7s4p5jgssevv8ktx9mn9rhdaq,185,👤,0,7590,3,266950439,2022-01-19T00:16:01
bostrom1ftkw5j528j94cajk4rvqum3k7mhhmpvyc8k7yg,186,👤,0,22145,4,1170846275,2022-01-20T15:12:04
bostrom1gwlqmqc9nrnuu8fanls76exyrzum9xjm88p9sk,187,👤,0.732880220598079,5322,5,219122606,2022-01-20T16:22:59
bostrom1jdmfxzpnqqlhjsju3mz7qsgvvdparw5acx7t62,188,alinode1,0.9916694227737985,52467,5,17424753455,2022-01-20T19:45:49
bostrom13er6djw40xer2syx4qfw3fcl9fantzs3alntg4,189,👤,0.7707882994765833,3067,3,129670601,2022-01-21T09:54:39
bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,190,👤,0.7525006854882669,5660589,2,185855175962,2022-01-21T19:45:44
bostrom1l86pcy2avrvv8knpm637092juytemr035w3xre,191,patattack,0.9367858400804834,106448,152,55783283299,2022-01-22T14:25:16
bostrom157fl3df9c308lrv0mx290gd4vnk2st64gv2sq5,192,cybermike,0,18574,3,869432582,2022-01-25T14:46:20
